Institute ID,Name,City,State,Score,Rank,Year
IR-1-O-O-U-0220,Indian Institute of Science ,Bengaluru,Karnataka,82.16,1,2018
IR-2-O-OE-U-0456,Indian Institute of Technology Madras ,Chennai,Tamil Nadu,81.39,2,2018
IR-3-O-OEM-U-0306,Indian Institute of Technology Bombay ,Mumbai,Maharashtra,79.2,3,2018
IR-3-O-OEM-I-1074,Indian Institute of Technology Delhi ,New Delhi,Delhi,73.97,4,2018
IR-5-O-OEMAL-U-0573,Indian Institute of Technology Kharagpur ,Kharagpur,West Bengal,71.39,5,2018
IR-1-O-O-U-0109,Jawaharlal Nehru University ,New Delhi,Delhi,67.57,6,2018
IR-3-O-OEM-I-1075,Indian Institute of Technology Kanpur ,Kanpur,Uttar Pradesh,65.39,7,2018
IR-4-O-OEMA-U-0560,Indian Institute of Technology Roorkee ,Roorkee,Uttarakhand,64.93,8,2018
IR-3-O-OMD-U-0500,Banaras Hindu University ,Varanasi,Uttar Pradesh,63.52,9,2018
IR-4-O-OEMA-U-0439,Anna University ,Chennai,Tamil Nadu,62.82,10,2018
IR-1-O-O-U-0042,University of Hyderabad ,Hyderabad,Telangana,60.54,11,2018
IR-2-O-OE-U-0053,Indian Institute of Technology Guwahati ,Guwahati,Assam,60.16,12,2018
IR-2-O-OE-U-0575,Jadavpur University ,Kolkata,West Bengal,59.68,13,2018
IR-1-O-O-U-0120,University of Delhi ,Delhi,Delhi,58.69,14,2018
IR-1-O-O-U-0436,Amrita Vishwa Vidyapeetham ,Coimbatore,Tamil Nadu,58.46,15,2018
IR-1-O-O-U-0323,Savitribai Phule Pune University ,Pune,Maharashtra,58.24,16,2018
IR-7-O-OEMALDC-U-0496,Aligarh Muslim University ,Aligarh,Uttar Pradesh,57.78,17,2018
IR-1-O-O-U-0234,Manipal Academy of Higher Education ,Manipal,Karnataka,57.37,18,2018
IR-5-O-OEMAL-U-0108,Jamia Millia Islamia ,New Delhi,Delhi,56.18,19,2018
IR-1-O-C-U-0447,Bharathiar University ,Coimbatore,Tamil Nadu,55.08,20,2018
IR-1-O-O-U-0570,Calcutta University ,Kolkata,West Bengal,53.38,21,2018
IR-2-O-OE-U-0013,Indian Institute of Technology Hyderabad ,Hyderabad,Telangana,53.07,22,2018
IR-1-O-D-U-0523,King George`s Medical University ,Lucknow,Uttar Pradesh,52.73,23,2018
IR-3-O-OEM-U-0490,Vellore Institute of Technology ,Vellore,Tamil Nadu,52.68,24,2018
IR-1-O-O-U-0572,Indian Institute of Science Education & Research Kolkata ,Mohanpur,West Bengal,52.52,25,2018
IR-3-O-OEP-U-0391,Birla Institute of Technology & Science ,Pilani,Rajasthan,52.15,26,2018
IR-2-O-OE-U-0205,Indian Institute of Technology (Indian School of Mines) Dhanbad ,Dhanbad,Jharkhand,52.04,27,2018
IR-1-O-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi ,Varanasi,Uttar Pradesh,51.85,28,2018
IR-1-O-O-I-1357,University of Madras ,Chennai,Tamil Nadu,51.52,29,2018
IR-3-O-OEP-U-0308,Institute of Chemical Technology ,Mumbai,Maharashtra,51.39,30,2018
IR-2-O-OE-U-0467,National Institute of Technology Tiruchirappalli ,Tiruchirappalli,Tamil Nadu,51.38,31,2018
IR-1-O-O-U-0305,Indian Institute of Science Education & Research Pune ,Pune,Maharashtra,51.04,32,2018
