Institute ID,Name,City,State,Score,Rank,Year
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,83.88,1,2019
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.28,2,2019
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,78.69,3,2019
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,78.62,4,2019
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,74.31,5,2019
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,69.07,6,2019
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.68,7,2019
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,67.68,8,2019
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,65.47,9,2019
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,64.55,10,2019
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,61.85,11,2019
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.87,12,2019
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.53,13,2019
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,60.35,14,2019
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.22,15,2019
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.5,16,2019
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.4,17,2019
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,58.36,18,2019
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,58.07,19,2019
IR-O-U-0120,University of Delhi,Delhi,Delhi,57.59,20,2019
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,57.23,21,2019
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,56.92,22,2019
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.48,23,2019
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.32,24,2019
