Institute ID,Name,City,State,Score,Rank,Year
IR17-I-2-1-344,Indian Institute of Technology Patna ,Patna,Bihar,39.87,83,2017
IR17-I-2-1-178,Dr. Y.S.Parmar University of Horticulture & Forestry ,Solan,Himachal Pradesh,39.54,84,2017
IR17-I-1-18703,Indian Institute of Management Kozhikode ,Kozhikode,Kerala,39.2,85,2017
IR17-I-2-18259,AMITY University ,Gautam Budh Nagar,Uttar Pradesh,39.17,86,2017
IR17-I-1-12080,Indian Institute of Crop Processing Technology ,Thanjavur,Tamil Nadu,39.15,87,2017
IR17-I-1-2811179135,PSG College of Technology ,Coimbatore,Tamil Nadu,39.07,88,2017
IR17-I-2-18508,Banasthali Vidyapith ,Banasthali,Rajasthan,38.74,89,2017
IR17-I-2-18580,Bharati Vidyapeeth ,Pune,Maharashtra,38.73,90,2017
IR17-I-2-18474,Saveetha Institute of Medical and Technical Sciences ,Chennai,Tamil Nadu,38.68,91,2017
IR17-I-2-1-33,Annamalai University ,Annamalainagar,Tamil Nadu,38.59,92,2017
IR17-I-2-18607,Calicut University ,Calicut,Kerala,38.45,93,2017
IR17-I-2-1-448,Mizoram University ,Aizwal,Mizoram,38.36,94,2017
IR17-I-2-1-373,Kurukshetra University ,Kurushetra,Haryana,38.26,95,2017
IR17-I-2-10933,Shiv Nadar University ,Chithera,Uttar Pradesh,37.95,96,2017
IR17-I-2-21078,Symbiosis International University ,Pune,Maharashtra,37.67,97,2017
IR17-I-2-18634,"Indian Institute of Science Education & Research, Bhopal ",Bhopal,Madhya Pradesh,37.32,98,2017
IR17-I-1-18710,Rajiv Gandhi Indian Institute of Management ,Shillong,Meghalaya,37.28,99,2017
IR17-I-2-1-N002,KLE Academy of Higher Education and Research ,Belagavi,Karnataka,37.25,100,2017
