Institute ID,Name,City,State,Score,Rank,Year
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,85.31,1,2020
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,84.18,2,2020
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.33,3,2020
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,80.75,4,2020
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.85,5,2020
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,74.99,6,2020
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,68.81,7,2020
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,68.76,8,2020
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,68.48,9,2020
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,62.03,10,2020
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.01,11,2020
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,60.77,12,2020
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,60.74,13,2020
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,59.96,14,2020
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,59.92,15,2020
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.85,16,2020
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,59.59,17,2020
IR-O-U-0120,University of Delhi,Delhi,Delhi,58.97,18,2020
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,58.77,19,2020
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,58.1,20,2020
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,57.32,21,2020
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,56.05,22,2020
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,55.94,23,2020
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.92,24,2020
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,55.43,25,2020
IR-O-U-0701,Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,54.82,26,2020
IR-O-U-0391,Birla Institute of Technology & Science,Pilani,Rajasthan,54.13,27,2020
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,53.89,28,2020
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,53.49,29,2020
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,53.2,30,2020
